2004-03 7
2004-04 6
2004-05 30
2004-06 24
2004-07 54
2004-08 29
2004-09 15
2004-10 1
2004-11 12
2004-12 5
2005-01 18
2005-02 88
2005-03 195
2005-04 287
2005-05 333
2005-06 149
2005-07 167
2005-08 172
2005-09 151
2005-10 198
2005-11 187
2005-12 185
2006-01 230
2006-02 108
2006-03 154
2006-04 131
2006-05 139
2006-06 223
2006-07 99
2006-08 139
2006-09 107
2006-10 286
2006-11 190
2006-12 180
2007-01 178
2007-02 158
2007-03 251
2007-04 221
2007-05 260
2007-06 311
2007-07 329
2007-08 202
2007-09 291
2007-10 258
2007-11 126
2007-12 265
2008-01 196
2008-02 136
2008-03 114
2008-04 230
2008-05 224
2008-06 216
2008-07 258
2008-08 268
2008-09 198
2008-10 134
2008-11 222
2008-12 216
2009-01 301
2009-02 263
2009-03 278
2009-04 280
2009-05 430
2009-06 252
2009-07 295
2009-08 273
2009-09 197
2009-10 327
2009-11 245
2009-12 213
2010-01 383
2010-02 283
2010-03 532
2010-04 358
2010-05 240
2010-06 245
2010-07 243
2010-08 249
2010-09 187
2010-10 288
2010-11 299
2010-12 300
2011-01 235
2011-02 319
2011-03 308
2011-04 261
2011-05 144
2011-06 211
2011-07 328
2011-08 175
2011-09 82
2011-10 163
2011-11 285
2011-12 176
2012-01 230
2012-02 320
2012-03 331
2012-04 289
2012-05 353
2012-06 242
2012-07 248
2012-08 249
2012-09 236
2012-10 331
2012-11 280
2012-12 394
2013-01 330
2013-02 320
2013-03 263
2013-04 300
2013-05 229
2013-06 235
2013-07 450
2013-08 209
2013-09 360
2013-10 274
2013-11 303
2013-12 195
2014-01 239
2014-02 263
2014-03 220
2014-04 214
2014-05 186
2014-06 439
2014-07 362
2014-08 286
2014-09 249
2014-10 366
2014-11 283
2014-12 329
2015-01 389
2015-02 320
2015-03 612
2015-04 382
2015-05 262
2015-06 233
2015-07 311
2015-08 183
2015-09 273
2015-10 205
2015-11 312
2015-12 320
2016-01 513
2016-02 225
2016-03 208
2016-04 227
2016-05 451
2016-06 324
2016-07 357
2016-08 313
2016-09 266
2016-10 329
2016-11 324
2016-12 330
2017-01 496
2017-02 396
2017-03 305
2017-04 172
2017-05 227
2017-06 185
2017-07 204
2017-08 127
2017-09 171
2017-10 271
2017-11 211
2017-12 203
2018-01 382
2018-02 288
2018-03 254
2018-04 221
2018-05 287
2018-06 254
2018-07 328
2018-08 311
2018-09 186
2018-10 209
2018-11 271
2018-12 349
2019-01 309
2019-02 197
2019-03 279
2019-04 182
2019-05 196
2019-06 229
2019-07 278
2019-08 261
2019-09 235
2019-10 225
2019-11 265
2019-12 270
2020-01 280
2020-02 256
2020-03 375
2020-04 362
2020-05 287
2020-06 207
2020-07 273
2020-08 351
2020-09 225
2020-10 99
